2025-07-21 at 21:08:11 | INFO | Успешно добавлено 10 записей.
2025-07-21 at 21:08:11 | INFO | Добавление нескольких записей TimeSlot. Количество: 9
2025-07-21 at 21:08:11 | INFO | Успешно добавлено 9 записей.
2025-07-21 at 21:08:12 | INFO | Бот успешно запущен.
2025-07-21 at 21:08:12 | SUCCESS | Вебхук установлен: https://0dd7bb2538ec.ngrok-free.app/webhook
2025-07-21 at 21:08:54 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:08:54 | INFO | Запись User с ID 312831871 найдена.
2025-07-21 at 21:08:54 | INFO | Обновление успешно обработано.
2025-07-21 at 21:08:56 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:08:57 | INFO | Обновление успешно обработано.
2025-07-21 at 21:08:58 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:08:58 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 4}
2025-07-21 at 21:08:58 | INFO | Найдено 1 записей.
2025-07-21 at 21:08:59 | INFO | Обновление успешно обработано.
2025-07-21 at 21:09:07 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:09:07 | INFO | Запись MeetingRoom с ID 7 найдена.
2025-07-21 at 21:09:08 | INFO | Обновление успешно обработано.
2025-07-21 at 21:10:04 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:10:04 | ERROR | Ошибка при обработке обновления с вебхука: Telegram server says - Bad Request: query is too old and response timeout expired or query ID is invalid
2025-07-21 at 21:10:04 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:10:05 | ERROR | Ошибка при обработке обновления с вебхука: Telegram server says - Bad Request: query is too old and response timeout expired or query ID is invalid
2025-07-21 at 21:10:05 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:10:05 | ERROR | Ошибка при обработке обновления с вебхука: Telegram server says - Bad Request: query is too old and response timeout expired or query ID is invalid
2025-07-21 at 21:10:05 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:10:05 | ERROR | Ошибка при обработке обновления с вебхука: Telegram server says - Bad Request: query is too old and response timeout expired or query ID is invalid
2025-07-21 at 21:10:05 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:10:06 | ERROR | Ошибка при обработке обновления с вебхука: Telegram server says - Bad Request: query is too old and response timeout expired or query ID is invalid
2025-07-21 at 21:10:06 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:10:06 | ERROR | Ошибка при обработке обновления с вебхука: Telegram server says - Bad Request: query is too old and response timeout expired or query ID is invalid
2025-07-21 at 21:10:06 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:10:06 | INFO | Обновление успешно обработано.
2025-07-21 at 21:11:55 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:11:55 | INFO | Обновление успешно обработано.
2025-07-21 at 21:11:57 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:11:57 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:03 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:03 | INFO | Запись TimeSlot с ID 4 найдена.
2025-07-21 at 21:12:04 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:10 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:10 | INFO | Добавление записи Booking с параметрами: {'user_id': 312831871, 'meeting_room_id': 7, 'time_slot_id': 4, 'date': datetime.date(2025, 7, 22), 'status': 'booked'}
2025-07-21 at 21:12:10 | INFO | Запись Booking успешно добавлена.
2025-07-21 at 21:12:11 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-21 22:12:11.219729
2025-07-21 at 21:12:11 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 00:12:11.219729
2025-07-21 at 21:12:11 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 21:12:11.219729
2025-07-21 at 21:12:11 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:24 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:24 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 312831871}
2025-07-21 at 21:12:24 | INFO | Найдено 0 записей.
2025-07-21 at 21:12:24 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:29 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:29 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:34 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:34 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 312831871}
2025-07-21 at 21:12:34 | INFO | Найдено 0 записей.
2025-07-21 at 21:12:34 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:39 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:39 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:40 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:40 | INFO | Подсчет количества записей User по фильтру: {}
2025-07-21 at 21:12:40 | INFO | Найдено 1 записей.
2025-07-21 at 21:12:41 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:44 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:44 | INFO | Обновление успешно обработано.
2025-07-21 at 21:12:46 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:12:46 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 312831871}
2025-07-21 at 21:12:46 | INFO | Найдено 0 записей.
2025-07-21 at 21:12:46 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:08 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:08 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:11 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:11 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 6}
2025-07-21 at 21:13:11 | INFO | Найдено 2 записей.
2025-07-21 at 21:13:11 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:15 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:15 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:16 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:17 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:18 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:18 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:18 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:18 | INFO | Запись MeetingRoom с ID 10 найдена.
2025-07-21 at 21:13:19 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:20 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:21 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:22 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:22 | INFO | Запись TimeSlot с ID 6 найдена.
2025-07-21 at 21:13:23 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:26 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:26 | INFO | Добавление записи Booking с параметрами: {'user_id': 312831871, 'meeting_room_id': 10, 'time_slot_id': 6, 'date': datetime.date(2025, 7, 23), 'status': 'booked'}
2025-07-21 at 21:13:26 | INFO | Запись Booking успешно добавлена.
2025-07-21 at 21:13:27 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-21 22:13:26.990628
2025-07-21 at 21:13:27 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 00:13:26.990628
2025-07-21 at 21:13:27 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 21:13:26.990628
2025-07-21 at 21:13:27 | INFO | Обновление успешно обработано.
2025-07-21 at 21:13:31 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:13:31 | INFO | Поиск всех записей Booking по фильтрам: {'user_id': 312831871}
2025-07-21 at 21:13:31 | INFO | Найдено 0 записей.
2025-07-21 at 21:13:31 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:30 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:30 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:32 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:32 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 10}
2025-07-21 at 21:15:32 | INFO | Найдено 0 записей.
2025-07-21 at 21:15:32 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:37 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:37 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:38 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:38 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 5}
2025-07-21 at 21:15:38 | INFO | Найдено 0 записей.
2025-07-21 at 21:15:38 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:41 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:41 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:43 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:43 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 8}
2025-07-21 at 21:15:43 | INFO | Найдено 2 записей.
2025-07-21 at 21:15:43 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:48 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:48 | INFO | Запись MeetingRoom с ID 2 найдена.
2025-07-21 at 21:15:48 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:49 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:50 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:51 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:51 | INFO | Запись TimeSlot с ID 3 найдена.
2025-07-21 at 21:15:52 | INFO | Обновление успешно обработано.
2025-07-21 at 21:15:54 | INFO | Получен запрос с вебхука.
2025-07-21 at 21:15:54 | INFO | Добавление записи Booking с параметрами: {'user_id': 312831871, 'meeting_room_id': 2, 'time_slot_id': 3, 'date': datetime.date(2025, 7, 25), 'status': 'booked'}
2025-07-21 at 21:15:54 | INFO | Запись Booking успешно добавлена.
2025-07-21 at 21:15:54 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-21 22:15:54.587604
2025-07-21 at 21:15:54 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 00:15:54.587604
2025-07-21 at 21:15:54 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 21:15:54.587604
2025-07-21 at 21:15:55 | INFO | Обновление успешно обработано.
2025-07-21 at 21:38:12 | INFO | Нет бронирований для обновления статуса.
2025-07-21 at 21:44:19 | INFO | Бот остановлен...
2025-07-21 at 21:44:19 | ERROR | Бот остановлен!
2025-07-21 at 22:10:14 | INFO | Бот запущен...
2025-07-21 at 22:10:15 | INFO | Бот успешно запущен.
2025-07-21 at 22:10:15 | SUCCESS | Вебхук установлен: https://0dd7bb2538ec.ngrok-free.app/webhook
2025-07-21 at 22:10:52 | INFO | Бот остановлен...
2025-07-21 at 22:10:53 | ERROR | Бот остановлен!
2025-07-21 at 22:11:53 | INFO | Бот запущен...
2025-07-21 at 22:11:54 | INFO | Бот успешно запущен.
2025-07-21 at 22:11:54 | SUCCESS | Вебхук установлен: https://40c657fa626a.ngrok-free.app/webhook
2025-07-21 at 22:11:59 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:11:59 | INFO | Запись User с ID 312831871 найдена.
2025-07-21 at 22:12:00 | INFO | Обновление успешно обработано.
2025-07-21 at 22:12:04 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:12:04 | INFO | Обновление успешно обработано.
2025-07-21 at 22:12:06 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:12:06 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 10}
2025-07-21 at 22:12:06 | INFO | Найдено 0 записей.
2025-07-21 at 22:12:07 | INFO | Обновление успешно обработано.
2025-07-21 at 22:12:27 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:12:27 | INFO | Обновление успешно обработано.
2025-07-21 at 22:12:34 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:12:34 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 8}
2025-07-21 at 22:12:34 | INFO | Найдено 2 записей.
2025-07-21 at 22:12:35 | INFO | Обновление успешно обработано.
2025-07-21 at 22:12:36 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:12:36 | INFO | Запись MeetingRoom с ID 2 найдена.
2025-07-21 at 22:12:37 | INFO | Обновление успешно обработано.
2025-07-21 at 22:12:38 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:12:39 | INFO | Обновление успешно обработано.
2025-07-21 at 22:12:42 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:12:42 | INFO | Запись TimeSlot с ID 1 найдена.
2025-07-21 at 22:12:42 | INFO | Обновление успешно обработано.
2025-07-21 at 22:12:44 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:12:44 | INFO | Добавление записи Booking с параметрами: {'user_id': 312831871, 'meeting_room_id': 2, 'time_slot_id': 1, 'date': datetime.date(2025, 7, 25), 'status': 'booked'}
2025-07-21 at 22:12:44 | INFO | Запись Booking успешно добавлена.
2025-07-21 at 22:12:45 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-21 23:12:45.133002
2025-07-21 at 22:12:45 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 01:12:45.133002
2025-07-21 at 22:12:45 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 22:12:45.133002
2025-07-21 at 22:12:45 | INFO | Обновление успешно обработано.
2025-07-21 at 22:18:33 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:18:34 | INFO | Обновление успешно обработано.
2025-07-21 at 22:18:36 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:18:36 | INFO | Поиск всех записей MeetingRoom по фильтрам: {'capacity': 4}
2025-07-21 at 22:18:36 | INFO | Найдено 1 записей.
2025-07-21 at 22:18:36 | INFO | Обновление успешно обработано.
2025-07-21 at 22:18:38 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:18:38 | INFO | Запись MeetingRoom с ID 7 найдена.
2025-07-21 at 22:18:38 | INFO | Обновление успешно обработано.
2025-07-21 at 22:18:39 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:18:40 | INFO | Обновление успешно обработано.
2025-07-21 at 22:18:41 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:18:41 | INFO | Запись TimeSlot с ID 5 найдена.
2025-07-21 at 22:18:42 | INFO | Обновление успешно обработано.
2025-07-21 at 22:18:43 | INFO | Получен запрос с вебхука.
2025-07-21 at 22:18:43 | INFO | Добавление записи Booking с параметрами: {'user_id': 312831871, 'meeting_room_id': 7, 'time_slot_id': 5, 'date': datetime.date(2025, 7, 26), 'status': 'booked'}
2025-07-21 at 22:18:43 | INFO | Запись Booking успешно добавлена.
2025-07-21 at 22:18:44 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-21 23:18:44.313871
2025-07-21 at 22:18:44 | INFO | Запланировано уведомление для пользователя 312831871 на 2025-07-22 01:18:44.313871
